index,IMDb_ID,IMDb Rating,Num Votes
179,tt1216516,6.7,9309.0
180,tt1216515,6.9,7263.0
181,tt1450334,7.2,1318.0
182,tt1217213,7.1,10293.0
183,tt0116607,7.0,3909.0
184,tt0206036,7.1,6463.0
185,tt0107290,8.1,834461.0
186,tt0119567,6.6,366886.0
187,tt0163025,5.9,288341.0
188,tt0369610,7.0,565368.0
189,tt0082971,8.4,857836.0
190,tt0087469,7.6,433496.0
191,tt0097576,8.2,670923.0
192,tt0367882,6.1,413892.0
193,tt0120915,6.5,707772.0
194,tt0121765,6.5,620780.0
195,tt0121766,7.5,688982.0
196,tt0076759,8.6,1195048.0
197,tt0080684,8.7,1122670.0
198,tt0086190,8.3,920556.0
199,tt0145660,6.6,212203.0
200,tt0118655,7.0,216241.0
201,tt0295178,6.2,191513.0
202,tt1218992,,
203,tt1099212,5.2,412639.0
204,tt1259571,4.7,258534.0
205,tt1325004,5.0,221171.0
206,tt1324999,4.9,217488.0
207,tt1673434,5.5,224470.0
208,tt0425430,5.4,37590.0
209,tt1299653,4.7,4478.0
210,tt0266697,8.1,968381.0
211,tt0378194,8.0,662085.0
212,tt1521225,,
213,tt0120746,6.7,164803.0
214,tt0386140,6.0,90651.0
215,tt0087332,7.8,343935.0
216,tt0097428,6.6,177709.0
217,tt0111070,6.5,91742.0
218,tt0304669,5.6,48106.0
219,tt0452681,4.7,31455.0
220,tt0118998,5.4,89682.0
221,tt0240462,4.7,40966.0
222,tt0481513,4.0,6094.0
223,tt1024724,4.0,2375.0
224,tt1080926,3.8,1628.0
225,tt0117218,5.6,107168.0
226,tt0144528,4.4,47389.0
227,tt0086960,7.3,157560.0
228,tt0092644,6.5,103899.0
229,tt0109254,5.6,74056.0
230,tt0083511,6.9,66889.0
231,tt0099044,5.9,37294.0
232,tt0101862,6.5,66485.0
233,tt0113041,6.0,33238.0
234,tt0111257,7.2,319378.0
235,tt0120179,3.9,72879.0
236,tt0175142,6.2,226398.0
237,tt0257106,5.3,145986.0
238,tt0306047,5.5,134346.0
239,tt0362120,5.1,111310.0
240,tt0795461,3.5,63695.0
241,tt0298130,7.1,312738.0
