,IMDb_ID,Title,Movie Series,Order,Genres,Year,IMDb Rating,Num Votes
100,tt1174954,Biohazard Regeneration,Biohazard,1,"Animation, Action, Horror, Sci-Fi, Thriller",2008,6.5,28392.0
101,tt1753496,Biohazard: Damnation,Biohazard,2,"Animation, Action, Horror, Sci-Fi, Thriller",2012,6.5,17858.0
102,tt0120611,Blade,Blade,1,"Action, Horror, Sci-Fi",1998,7.1,238044.0
103,tt0187738,Blade II,Blade,2,"Action, Fantasy, Horror, Sci-Fi, Thriller",2002,6.7,195085.0
104,tt0359013,Blade: Trinity,Blade,3,"Action, Adventure, Fantasy, Horror, Sci-Fi",2004,5.9,162384.0
105,tt0083658,Blade Runner,Blade Runner,1,"Action, Sci-Fi, Thriller",1982,8.1,671532.0
106,tt1856101,Blade Runner 2049,Blade Runner,2,"Action, Drama, Mystery, Sci-Fi, Thriller",2017,8.0,433402.0
107,tt0383222,BloodRayne,BloodRayne,1,"Action, Adventure, Fantasy, Horror",2005,2.9,33689.0
108,tt1153546,BloodRayne: The Third Reich,BloodRayne,2,"Action, Adventure, Fantasy, Horror",2011,3.0,5834.0
110,tt0080464,The Boogey Man,Boogeyman,1,Horror,1980,4.6,3704.0
111,tt0085266,Revenge of the Boogeyman,Boogeyman,2,Horror,1983,2.0,915.0
112,tt0357507,Boogeyman,Boogeyman,3,"Drama, Horror, Mystery, Thriller",2005,4.2,29225.0
113,tt0900357,Boogeyman 2,Boogeyman,4,"Drama, Horror, Thriller",2007,5.0,7627.0
114,tt0118767,Brat,Brat,1,"Crime, Drama, Romance",1997,8.0,16138.0
115,tt0238883,Brat 2,Brat,2,"Action, Crime, Thriller",2000,7.8,11833.0
116,tt0243155,Bridget Jones's Diary,Bridget Jones,1,"Comedy, Drama, Romance",2001,6.7,218316.0
117,tt0317198,Bridget Jones: The Edge of Reason,Bridget Jones,2,"Comedy, Drama, Romance",2004,6.0,102463.0
118,tt1473832,Bridget Jones's Baby,Bridget Jones,3,"Comedy, Drama, Romance",2016,6.5,65602.0
120,tt0103919,Candyman,Candyman,1,"Horror, Thriller",1992,6.6,66688.0
121,tt0112625,Candyman: Farewell to the Flesh,Candyman,2,"Horror, Thriller",1995,5.3,10074.0
122,tt0458339,Captain America: The First Avenger,Captain America,1,"Action, Adventure, Sci-Fi",2011,6.9,717470.0
123,tt1843866,Captain America: The Winter Soldier,Captain America,2,"Action, Adventure, Sci-Fi, Thriller",2014,7.7,712991.0
124,tt3498820,Captain America: Civil War,Captain America,3,"Action, Adventure, Sci-Fi",2016,7.8,637167.0
125,tt0317219,Cars,Cars,1,"Animation, Comedy, Family, Sport",2006,7.1,354181.0
126,tt1216475,Cars 2,Cars,2,"Animation, Adventure, Comedy, Family, Sport",2011,6.1,152957.0
127,tt3606752,Cars 3,Cars,3,"Animation, Adventure, Comedy, Family, Sport",2017,6.7,69955.0
128,tt0034587,Cat People,Cat People,1,"Fantasy, Horror, Thriller",1942,7.3,18974.0
129,tt0036733,The Curse of the Cat People,Cat People,2,"Drama, Horror, Mystery",1944,6.9,5531.0
130,tt0160127,Charlie's Angels,Charlie's Angels,1,"Action, Adventure, Comedy, Crime, Thriller",2000,5.5,172367.0
131,tt0305357,Charlie's Angels: Full Throttle,Charlie's Angels,2,"Action, Adventure, Comedy, Crime",2003,4.9,118495.0
132,tt0349205,Cheaper by the Dozen,Cheaper by the Dozen,1,"Comedy, Family",2003,5.9,91516.0
133,tt0452598,Cheaper by the Dozen 2,Cheaper by the Dozen,2,"Adventure, Comedy, Family",2005,5.5,53182.0
134,tt0094862,Child's Play,Child's Play,1,"Horror, Thriller",1988,6.6,84237.0
135,tt0099253,Child's Play 2,Child's Play,2,"Horror, Thriller",1990,5.8,43392.0
136,tt0103956,Child's Play 3,Child's Play,3,"Horror, Thriller",1991,5.1,34729.0
137,tt0317248,Cidade de Deus,Cidade de Deus,1,"Crime, Drama",2002,8.6,680822.0
